Key,Language,Search Engine,Publication Year,Author,Title,Journal,Pages,Issue,Volume,Notes from Screening,Screened by,Study Area Region,Study Area Continent,Studied Taxa - Kingdom,Studied Taxa - Phylum,Studied Taxa - Class,Studied Taxa - Order,Studied Taxa - Family,Studied Taxa - Genus,Study Taxa - Species,Species of Conservation Concern?,Non-Native Species?,Topic Notes (if other),Analyses Notes (if other),Data Type Notes (if other),iNaturalist Data Role,iNaturalist Projects,No tags because,Notes,Entered by,Assigned to,Study Area Country,Paper Topic,Analyses Conducted,iNaturalist Data Type
M2D3GXBI,english,Google Scholar,2023,"Pélissié, M; Nabholz, Benoit; Labadessa, R; Ancillotto, Leonardo",Hidden in plain sight: unveiling the distributions of green-winged grasshoppers (Aiolopus spp.) with citizen-science data,Journal of Zoology,20819,1,11,NA,Brittany,NA,"Europe, Asia",Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Aiolopus,"thalassinus, puissanti",No,No,NA,NA,NA,Main Data Source,No,NA,NA,Brittany,Brittany,United States,"Species Distribution/Range, Data Quality/Comparison","Species Distribution, Image Analysis","Observation Data, Imagery"
M2QVC86Z,english,Google Scholar,2022,"Koniakin, Serhii; Gubar, Liubov","Spontaneous flora of the local landscape Feofaniya (Kyiv, Ukraine)",Plant Introduction,46–61,93/94,1,NA,Brittany,Kyiv,Europe,Plantae,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,NA,No,No,computer vision,NA,NA,Minor Data Source,No,NA,"Although they say the used photos from iNaturalist, based on their use case I believe they also used observation data",Brittany,Brittany,Ukraine,Species Distribution/Range,Descriptive,"Observation Data, Imagery"
M2SSG3SZ,english,Google Scholar,2021,"Sanderson, Chris; Braby, Michael F; Bond, Suzi",Butterflies Australia: a national citizen science database for monitoring changes in the distribution and abundance of Australian butterflies,Austral Entomology,111–127,1,60,"not sure because they discuss hwo iNat was an influence on the app they created; Brittany: I think ""yes"" for now",Sam,NA,Oceania,Animalia,Arthropoda,Insecta,Lepidoptera,Elapidae,Naja,NA,No,No,NA,NA,NA,Main Data Source,Yes,NA,NA,Jackson,Jackson,Australia,Species Distribution/Range,"Species Distribution, Descriptive",Observation Data
M3PFULTP,english,Google Scholar,2021,"Menchetti, Mattia; Cianferoni, Fabio; Mazza, Giuseppe; Dal Cin, Matteo; Barbato, Debora; Benocci, Andrea; Cervo, Rita; Dapporto, Leonardo; Picchi, Malayka Samantha; Vanni, Lorenzo; others","Checklist of macro-invertebrates of the special conservation area âPoggi di prataâ(Grosseto, Central Italy) through a citizen-science and expert-based approach",Redia,63-68,1,104,NA,Jackson,Grosseto,Europe,Animalia,"Arthropoda, Mollusca",NA,NA,NA,NA,NA,No,No,NA,NA,NA,Major Data Source,Yes,NA,NA,Thomas,Thomas,Italy,Species Distribution/Range,Descriptive,Observation Data
M4337K43,spanish,Google Scholar,2019,"de la Cruz, Yazmin Hailen Ugalde; Anaya, Ilse Citlalli Alonso; Aguilar, Beatriz Maruri; Martínez, María Magdalena Hernández; Martínez, Emiliano Sánchez",Ciencia ciudadana: valiosa herramienta para conocer la biodiversidad del Ã¡rea silvestre del JardÃ­n BotÃ¡nico Regional de Cadereyta,Revista Nthe,21965,1,30,NA,Flo,Querétaro,North America,Plantae,Tracheophyta,Liliopsida,Zingiberales,Strelitziaceae,Ravenala,NA,Yes,No,NA,NA,NA,Main Data Source,Yes,NA,The projects are https://www.inaturalist.org/projects/biodiversidad-del-jardin-botanico-regional-de-cadereyta and https://www.inaturalist.org/projects/biodiversidad-del-jardin-botanico-regional-de-cadereyta and https://www.inaturalist.org/projects/fenologia-de-la-coleccion-cientifica-del-jardin-botanico-regional-de-cadereyta,Flo,Flo,Mexico,"Education/Community Engagement, Biodiversity/Population Assessment","Descriptive, Population Measure",Observation Data
M5LSVEZG,english,Google Scholar,2020,"Glaw, Frank; Prötzel, David; Eckhardt, Falk; Raharinoro, Njaratiana A; Ravelojaona, Rojo N; Glaw, Timon; Glaw, Kathrin; Forster, Julia; Vences, Miguel","Rediscovery, conservation status and genetic relationships of the Malagasy chameleon Furcifer voeltzkowi",Salamandra,342–354,4,56,NA,Flo,NA,Africa,Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Furcifer,veoltzkowi,No,No,NA,NA,NA,Minor Data Source,No,NA,NA,Baasanmunkh,Munkh,Madagascar,"Species Distribution/Range, Species Discovery",Species Distribution,"Observation Data, Identification Data"
M5WPUSDH,english,Google Scholar,2019,"Balestrieri, Alessandro; Mori, Emiliano; Menchetti, Mattia; Ruiz-González, Aritz; Milanesi, Pietro",Far from the madding crowd: Tolerance toward human disturbance shapes distribution and connectivity patterns of closely related Martes spp.,Population Ecology,289–299,3,61,NA,Corey,Tuscany,Europe,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,"martes, foina",Yes,No,NA,NA,NA,Minor Data Source,No,NA,NA,Baasanmunkh,Munkh,Italy,"Climate Change/Environmental Impact, Species Distribution/Range","Species Distribution, Population Measure",Observation Data
M6DSLC2V,english,Google Scholar,2022,"Escoriza, Daniel; Hassine, Jihene Ben",Niche diversification of Mediterranean and southwestern Asian tortoises,PeerJ,e13702,1,10,NA,Brittany,NA,"Europe, Asia",Animalia,Chordata,Reptilia,Testudines,Testudinidae,Testudo,marginata,No,No,NA,NA,NA,Minor Data Source,No,NA,"Slightly odd one to score; the iNat data only relate to amphibians, which is how I've scored this, but the actual focus of the entire paper is an amphipod species, which I haven't scored (no iNat data was used for the amphipod); Brittany: I agree with how you tagged this article",Brittany,Brittany,NA,Species Distribution/Range,Species Distribution,Observation Data
M6WX55UC,english,Google Scholar,2021,"Keszthelyi, Sándor","Red-headed ash borer Neoclytus acuminatus acuminatus (Fabricius)(Coleoptera: Cerambycidae): the global distribution, current spreading and the seasonal activity depending on its different habitats",Journal of Plant Diseases and Protection,1187–1199,1,128,NA,Jackson,NA,"Europe, North America, South America",Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Neoclytus,acuminatus,No,Yes,NA,NA,NA,Minor Data Source,No,NA,NA,Simon,Simon,NA,"Species Distribution/Range, Biology/Behavior","Descriptive, Species Distribution","Observation Data, Imagery"
M79TMSGM,spanish,Google Scholar,2022,"Batista-Roche, Lino Gerardo; Huerta-Ocampo, José Ángel",Mezquite: Una planta alergÃ©nica de relevancia clÃ­nica en MÃ©xico,TIP Revista Especializada en Ciencias Químico-Biológicas,86,1,24,NA,Flo,NA,North America,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Prosopis,aethiopicus,No,No,Human health,NA,Observations timeline and phenological summaries,Minor Data Source,No,NA,NA,Flo,Flo,Mexico,"Biology/Behavior, Other",Descriptive,Other
M7KC5PJD,english,Google Scholar,2020,"Zhang, Vicki Mengyuan; Punzalan, David; Rowe, Locke","Climate change has different predicted effects on the range shifts of two hybridizing ambush bug (Phymata, Family Reduviidae, Order Hemiptera) species",Ecology and evolution,12036–12048,21,10,used iNat data for CC study,Colleen,NA,North America,Animalia,Arthropoda,Insecta,Hemiptera,Reduviidae,Phymala,"americana, pennsylvanica",No,No,NA,NA,NA,Minor Data Source,No,NA,NA,Baasanmunkh,Munkh,United States of America,"Climate Change/Environmental Impact, Species Distribution/Range","Species Distribution, Descriptive",Observation Data
M7U5ZH5D,english,Google Scholar,2018,"Fallon, Timothy R; Lower, Sarah E; Chang, Ching-Ho; Bessho-Uehara, Manabu; Martin, Gavin J; Bewick, Adam J; Behringer, Megan; Debat, Humberto J; Wong, Isaac; Day, John C; others",Firefly genomes illuminate parallel origins of bioluminescence in beetles,Elife,e36495,NA,7,these appear to be the same paper. They are different,Corey,NA,Africa,Animalia,Arthropoda,Insecta,Coleoptera,Santalaceae,Thesium,atratum,No,No,NA,NA,NA,Minor Data Source,No,NA,iNaturalist was used as a tool to find geographic locations of beetles so that they could be found and sampled. Brittany: they also reported species distribution from iNaturalist data,Levi,Levi,South Africa,"Biology/Behavior, Species Distribution/Range",Species Distribution,Observation Data
M8GK57A8,english,Google Scholar,2020,"van der Heyden, Torsten","First records of Leptoglossus talamancanus Brailovsky & Barrera, 1998 (Hemiptera: Heteroptera: Coreidae) for Belize and Mexico Primeras citas de Leptoglossus talamancanus Brailovsky & Barrera, 1998 (Hemiptera: Heteroptera: Coreidae) para Belice y MÃ©xico",Boletin del Museo Nacional de Historia Natural del Paraguay,45-46,1,24,NA,Brittany,NA,Africa,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Freylinia,NA,Yes,No,NA,NA,NA,Minor Data Source,Yes,NA,NA,Thomas,Colleen,South Africa,"Species Discovery,
Species Distribution/Range",Species Distribution,Observation Data
M8K4BKI2,english,Google Scholar,2021,"Chowdhury, Shawan; Alam, Shofiul; Chowdhury, Sayam U; Rokonuzzaman, Md; Shahriar, Shihab A; Shome, Ashikur R; Fuller, Richard A","Butterflies are weakly protected in a mega-populated country, Bangladesh",Global Ecology and Conservation,e01484,NA,26,data downloaded from GBIF,Jackson,NA,Africa,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,NA,NA,No,Yes,NA,NA,NA,Major Data Source,Yes,NA,NA,Thomas,Marina,South Africa,Species Distribution/Range,Species Distribution,Observation Data
M8NETMRT,english,Google Scholar,2022,"Fu, Yu; Xiang, Liuyu; Zahid, Yumna; Ding, Guiguang; Mei, Tao; Shen, Qiang; Han, Jungong",Long-tailed visual recognition with deep models: A methodological survey and evaluation,Neurocomputing,1�12,sp11,20,Brittany got access and found that this is relevant,Brittany,NA,North America,Animalia,Chordata,Mammalia,Carnivora,Mephitidae,Spilogale,putorius,No,No,Visual Classification,NA,NA,Major Data Source,No,NA,NA,Brittany,Brittany,United States,Other,Image Analysis,Imagery
M9A9827C,english,Google Scholar,2019,"Hantak, Maggie M; Page, Robert B; Converse, Paul E; Anthony, Carl D; Hickerson, Cari-Ann M; Kuchta, Shawn R",Do genetic structure and landscape heterogeneity impact color morph frequency in a polymorphic salamander?,Ecography,1383–1394,8,42,Brittany got access and found that this is relevant,Corey,Ohio,North America,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,cinereus,No,No,NA,NA,NA,Minor Data Source,No,NA,NA,Nadja,Nadja,United States of America,"Species Distribution/Range, Biodiversity/Population Assessment, Biology/Behavior",Species Distribution,Observation Data
M9EHMDKU,english,Google Scholar,2021,"Brenskelle, Laura; Barve, Vijay; Majure, Lucas C; Guralnick, Rob P; Li, Daijiang",Analyzing a phenological anomaly in Yucca of the southwestern United States,Scientific reports,20819,1,11,Brittany got access and found this relevant,Shawn,NA,North America,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Yucca,brimblecombei,No,Yes,NA,NA,NA,Main Data Source,No,NA,NA,Thomas,Thomas,United States of America,Biology/Behavior,Image Analysis,Imagery
M9HHK7D7,english,Google Scholar,2022,"de Luna, Manuel; García-Barrios, Roberto; Valle, Paola; Boll, Piter Kehoma","New records of invasive hammerhead flatworms (Platyhelminthes, Geoplanidae, Bipaliinae) from Mexico using a citizen science platform, with an identification key to the species found in North America",Check List,925–935,5,18,NA,Brittany,Hedmark,North America,Animalia,Platyhelminthes,Mammalia,Tricladida,Geoplanidae,Bipalium,"vagum, kewense",No,Yes,NA,NA,NA,Main Data Source,No,NA,NA,Corey,Corey,Mexico,Species Distribution/Range,Descriptive,Observation Data
M9UX4E82,english,Google Scholar,2019,"Zambrano, Luis; Aronson, Myla FJ; Fernandez, Tania",The consequences of landscape fragmentation on socio-ecological patterns in a rapidly developing urban area: a case study of the National Autonomous University of Mexico,Frontiers in environmental science,152,NA,7,NA,Corey,Mexico City,North America,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Gallinago,NA,No,No,NA,NA,NA,Major Data Source,No,NA,NA,Nadja,Nadja,Mexico,Education/Community Engagement,"Other, Descriptive",Observation Data
MADIUW5H,english,Google Scholar,2022,"Barends, Jody Michael; Maritz, Bryan",Dietary specialization and habitat shifts in a clade of Afro-Asian colubrid snakes (Colubridae: Colubrinae),Ichthyology & Herpetology,278–291,2,110,"Confusing; Brittany: I agree with ""yes"" relevant",Brittany,NA,"Africa, Asia",Animalia,Chordata,Reptilia,Squamata,Colubridae,NA,NA,No,No,NA,NA,NA,Minor Data Source,No,NA,"Not sure on this one. It's a review of iNaturalist from a herping perspective, focussed on how data are visible and can threaten reptiles/amphibians and their habitats. Compares iNat with H.E.R.P.S. Brittany: I updated topic to other",Brittany,Shawan,NA,Biology/Behavior,Image Analysis,Imagery
MAK4FZYS,english,Google Scholar,2021,"Koutsoukos, Evangelos; Kazilas, Christos","ADDRESSING DISTRIBUTIONAL SHORTCOMINGS THROUGH CITIZEN SCIENCE RECORDS: THE PRESENCE OF HERMETIA ILLUCENS (LINNAEUS, 1758)(DIPTERA STRATIOMYIDAE) IN ALGERIA",Redia,69-73,16,104,NA,Jackson,NA,Africa,Animalia,Arthropoda,Insecta,Diptera,Stratiomyidae,Hermetia,illucens,No,No,NA,NA,NA,Main Data Source,No,NA,NA,Thomas,Thomas,Algeria,Species Distribution/Range,Species Distribution,Observation Data
MBLYL2LI,english,Google Scholar,2022,"MORA-RUBIO, CARLOS","Contributions to the distribution of the Iberian endemism Hilaphura varipes (Hemiptera, Cicadidae)",Boletín de la Asociación española de Entomología,77–82,2-Jan,46,NA,Brittany,Toledo province,Europe,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Hilaphura,varipes,No,No,NA,NA,NA,Minor Data Source,No,NA,NA,Corey,Corey,Spain,Species Distribution/Range,Species Distribution,Observation Data
MCQPDUHG,english,Google Scholar,2023,"Jackson, Trevor A; Rincon, Miguel N; Villamizar, Laura F; Paudel, Sulav",Social media posts suggest that coconut rhinoceros beetle has established in the Western hemisphere,Journal of Applied Entomology,19–22,1,147,NA,Brittany,Navarre,North America,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Oryctes,rhinoceros,No,Yes,NA,NA,NA,Major Data Source,No,NA,NA,Brittany,Brittany,Mexico,Species Distribution/Range,Species Distribution,Observation Data
MCZLEBUS,english,Google Scholar,2020,"Krasylenko, Yuliya; Sosnovsky, Yevhen; Atamas, Natalia; Popov, Grigory; Leonenko, Volodymyr; Janošíková, Kateřina; Sytschak, Nadiya; Rydlo, Karol; Sytnyk, Dmytro","The European mistletoe (Viscum album L.): distribution, host range, biotic interactions, and management worldwide with special emphasis on Ukraine",Botany,499–516,9,98,used in map construction,Colleen,Christchurch,Europe,Plantae,Tracheophyta,Magnoliopsida,Santalales,Santalaceae,Viscum,"album, abietis, austriacum",No,Yes,NA,NA,NA,Major Data Source,No,NA,NA,Marina,Marina,Ukraine,Species Distribution/Range,Species Distribution,Observation Data
MDQUSKTY,english,Google Scholar,2023,"Balashov, Igor; Markova, Anna",Expansion of the invasive Balkan slug Tandonia kusceri (Stylommatophora: Milacidae): A new frontier in northern Ukraine and other new records,Folia Malacologica,24–31,1,31,Brittany accessed and found this relevant,Brittany,Northern Ukraine,Europe,Animalia,Mollusca,Gastropoda,Stylommatophora,Milacidae,Tandonia,NA,No,Yes,NA,NA,NA,Minor Data Source,No,NA,NA,Brittany,Brittany,Ukraine,Species Distribution/Range,"Species Distribution, Descriptive",Observation Data
MDSFV3A8,english,Google Scholar,2022,"Karichu, Mwihaki J; Ngarega, Boniface K; Onjalalaina, Guy E; Kamau, Peris; Sessa, Emily B",The potential distributions of African Azolla species and their implications for African wetland ecosystems for the future,Ecology and Evolution,e9210,8,12,NA,Brittany,NA,Africa,Plantae,Tracheophyta,Polypodiopsida,Salviniales,Salviniaceae,Azolla,"fasciculatum, franciscanum",No,No,NA,NA,NA,Major Data Source,No,NA,did four species of Azolla.,Corey,Corey,"Canada, United States","Species Distribution/Range, Climate Change/Environmental Impact",Species Distribution,Observation Data
MDV8GGVI,english,Google Scholar,2022,"Barends, Jody M; Maritz, Bryan",Snake predators of bird eggs: a review and bibliography,Journal of Field Ornithology,1,2,93,Brittany accessed and found this relevant,Brittany,Eastern US,Global,Animalia,Chordata,"Reptilia, Aves",Ericales,Ericaceae,Monotropa,brittonii,No,No,NA,NA,NA,Minor Data Source,No,NA,"They studied snake predation of bird eggs - I am not sure exactly what iNaturalist data they pulled so I considered reptilia and aves the taxon; there was discussion about invasive species, but they were not targeted or specifically analyzed so I considerd no for non-native species",Brittany,Brittany,United States,"Biology/Behavior, Species Distribution/Range",Image Analysis,"Observation Data, Imagery"
MF3A78XG,english,Google Scholar,2023,"Brüning-González, Mariana; Villagra, Paula; Samaniego, Horacio",Biodiversity and Resilience to Tsunamis in Chilean Urban Areas: The Role of Ecoinformatics,Sustainability,7065,9,15,NA,Brittany,Johor,South America,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Lebinthus,luae,No,No,NA,NA,NA,Minor Data Source,No,NA,NA,Sam,Sam,Chile,Biodiversity/Population Assessment,Population Measure,Observation Data
MF49EDHU,english,Google Scholar,2022,"Dickerson, Hallie; Tessier, Veronique; Davis, Emily; Solis, Emma; Armstrong, Taqwa; Healy-La Price, Jessica",Body temperature patterns and energy balance hormones in free-living thirteen-lined ground squirrels (Ictidomys tridecemlineatus) from different latitudes,Physiological and Biochemical Zoology,500–516,6,95,NA,Brittany,Michoac�n,North America,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ictidomys,tridecemlineatus,No,No,NA,NA,NA,Minor Data Source,No,NA,NA,Brittany,Brittany,United States of America,Species Distribution/Range,Descriptive,Observation Data
MG5FYVAB,english,Google Scholar,2023,"Li, Yanfei; Chen, Juhong; Wang, Shujing; Jiang, Kun; Zhou, Jiayue; Zhu, Runqi; Gao, Cuiqing; Bu, Wenjun; Xue, Huaijun",Out of East Asia: Early Warning of the Possible Invasion of the Important Bean Pest Stalk-Eyed Seed Bug Chauliops fallax (Heteroptera: Malcidae: Chauliopinae),Insects,433,5,14,NA,Brittany,NA,Asia,Animalia,Arthropoda,Insecta,Hemiptera,Malcidae,Chauliops,fallax,No,Yes,NA,NA,NA,Minor Data Source,No,NA,NA,Brittany,Brittany,NA,Species Distribution/Range,Species Distribution,Observation Data
MGJ4VMFU,english,Google Scholar,2023,"Wang, Xuan; Zhu, Zhigang",Context understanding in computer vision: A survey,Computer Vision and Image Understanding,103646,4,229,NA,Brittany,Lower Yungas,South America,"Animalia, Plantae","Arthropoda, Tracheophyta","Liliopsida, Magnoliopsida, Insecta",NA,NA,NA,NA,No,No,Computer Vision,NA,NA,Minor Data Source,No,NA,NA,Thomas,Thomas,"Bolivia, Peru",Other,Review,None or Could Not Determine
MGJSTY2C,english,Google Scholar,2020,"Rocha, Ricardo; Reino, Luis; Sepulveda, Pedro; Ribeiro, Joana","Introduced population of ring-necked parakeets Psittacula krameri in Madeira Island, Portugal-call for an early action",Management of Biological Invasions,576-587,3,11,Brittany accessed and found this relevant,Brittany,British Columbia,North America,Plantae,Bryophyta,NA,NA,NA,NA,NA,No,No,NA,NA,NA,Minor Data Source,Yes,NA,NA,Simon,Colleen,Canada,Education/Community Engagement,Descriptive,"Observation Data,
Imagery"
MI34JWCW,english,Google Scholar,2019,"Rebelo, Alexander Douglas; Bates, Michael Francis; Burger, Marius; Branch, William Roy; Conradie, Werner","Range expansion of the Common Dwarf Gecko, Lygodactylus capensis: South Africaâs most successful reptile invader Range expansion of the Common Dwarf Gecko, Lygodactylus capensis: South Africaâs most successful reptile invader",Herpetology Notes,643–650,1,12,Mention the use in the discussion,Corey,Ontario,Africa,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Lygodactylus,capensis,No,Yes,NA,NA,NA,Minor Data Source,No,NA,"There are maps in the paper, but I checked the figshare datatable and as far as I can see, they did not use the iNaturalist data for those. But it is not fully clear.",Nadja,Nadja,South Africa,"Species Distribution/Range, Biology/Behavior","Descriptive, Image Analysis",Observation Data
MIGZ5IMH,english,Google Scholar,2021,"Claunch, Natalie M; Goodman, Colin; Reed, Robert N; Guralnick, Robert; Romagosa, Christina M; Taylor, Emily N","Invaders from islands: thermal matching, potential or flexibility?",Biological Journal of the Linnean Society,587–603,3,134,obs used,Mark,Florida,North America,Animalia,Chordata,Reptilia,Squamata,Leiocephalidae,Leiocephalus,carinatus,No,Yes,NA,NA,NA,Minor Data Source,No,NA,NA,Sam,Sam,United States of America,Species Distribution/Range,Species Distribution,Observation Data
MJTBM6DY,english,Google Scholar,2020,"Wood, Jamie R; Richardson, Sarah J; McGlone, Matt S; Wilmshurst, Janet M",The diets of moa (Aves: Dinornithiformes),New Zealand Journal of Ecology,1–21,1,44,Brittany got access and found this relevant,Brittany,NA,Oceania,Animalia,Chordata,Aves,Coleoptera,Scarabaeidae,Phalangogonia,jamesonae,No,No,NA,NA,NA,Minor Data Source,No,NA,NA,Baasanmunkh,Munkh,New Zealand,"Species Distribution/Range, Species Discovery",Species Distribution,Observation Data
MK793WDW,english,Google Scholar,2021,"Jachowski, David; Kays, Roland; Butler, Andrew; Hoylman, Anne M; Gompper, Matthew E",Tracking the decline of weasels in North America,PLoS One,e0254387,7,16,NA,Shawn,NA,North America,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,"nivalis, frenata, erminea",Yes,No,NA,NA,NA,Major Data Source,No,NA,NA,Thomas,Thomas,"United States of America, Canada","Species Distribution/Range, Biodiversity/Population Assessment, Data Quality/Comparison","Species Distribution, Population Measure",Observation Data
MKGT2RCM,english,Google Scholar,2023,"van den Burg, MP; Wasilewski, JA; Thorpe, RS; Debrot, AO; Daltry, JC; Angin, B; Boman, EM; Brannon, L; Corbett, EA; Horrocks, JA; others",The threat of Peters's Rock Agama (Agama picticauda) to reptile diversity across the Lesser Antilles,Animal Conservation,669�683,1,88,NA,Brittany,Lesser Antilles,North America,Animalia,Chordata,Reptilia,Squamata,Agamidae,Agama,picticauda,No,Yes,NA,NA,NA,Major Data Source,No,NA,NA,Brittany,Brittany,NA,Species Distribution/Range,Descriptive,Observation Data
MKRGDPFD,english,Google Scholar,2020,"Benscoter, Allison M; Beerens, James M; Romañach, Stephanie S",Coastal marsh bird habitat selection and responses to Hurricane Sandy,Wetlands,799–810,4,40,Brittany accessed and found this relevant,Flo,New Jersey,North America,Animalia,Chordata,Aves,NA,NA,NA,NA,No,No,NA,NA,NA,Minor Data Source,No,NA,NA,Baasanmunkh,Munkh,United States of America,"Climate Change/Environmental Impact, Species Distribution/Range",Species Distribution,Observation Data
MKYEIKIQ,english,Google Scholar,2023,"FACCENDA, KEVIN",New records of weedy Phyllanthus spp. in Hawai âi,Bishop Museum Occasional Papers,003-8,3,155,Brittany accessed and found this relevant,Brittany,Hawaii,North America,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Phyllanthaceae,Phyllanthus,"amarus, leucanthus, urinaria",No,Yes,NA,NA,NA,Minor Data Source,No,NA,NA,Brittany,Brittany,United States of America,Species Distribution/Range,Species Distribution,Observation Data
MKZMGL2H,spanish,Google Scholar,2022,"Castro, Leopoldo; del Pico, Carlos","Novedades en la expansiÃ³n ibÃ©rica de Vespa orientalis Linnaeus 1771 (Hymenoptera: Vespidae), con la primera cita del centro de AndalucÃ­a..",Boletín de la Sociedad Entomológica Aragonesa (SEA),165–167,31/12,71,Brittany accessed and found this relevant,Flo,Andalusia,Europe,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,orientalis,No,Yes,NA,NA,NA,Minor Data Source,No,NA,NA,Flo,Flo,Spain,Species Distribution/Range,Descriptive,Observation Data
ML2CXHMM,english,Google Scholar,2022,"Martinez, Nicolas; van der Spek, Vincent","Geographical variation in Black Redstart Phoenicurus ochruros (SG Gmelin, 1774) calls",Bulletin of the British Ornithologists’ Club,466–477,4,142,Brittany accessed and found this relevant,Brittany,NA,Europe,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Phoenicurus,ochuros,No,No,NA,Call analysis,Call/audio data,Minor Data Source,No,NA,NA,Corey,Corey,NA,Biology/Behavior,Other,Other
ML3AE35W,english,Google Scholar,2021,"Durso, Andrew M; Moorthy, Gokula Krishnan; Mohanty, Sharada P; Bolon, Isabelle; Salathé, Marcel; Ruiz de Castañeda, Rafael",Supervised learning computer vision benchmark for snake species identification from photographs: Implications for herpetology and global health,Frontiers in Artificial Intelligence,582110,NA,4,Use iNat observations as the data,Jackson,NA,North America,Animalia,Arthropoda,Insecta,"Hemiptera, Lepidoptera","Acanaloniidae, Epipyropidae, Fulgoraecia","Acanalonia, Fulgoraecia, Metcalfa","conica, exigua, pruinosa",No,No,NA,NA,NA,Minor Data Source,No,NA,NA,Simon,Marina,Canada,Species Distribution/Range,Descriptive,Observation Data
MLTIMMF8,english,Google Scholar,2014,"Poelen, Jorrit H; Simons, James D; Mungall, Chris J",Global biotic interactions: An open infrastructure to share and analyze species-interaction datasets,Ecological Informatics,148–159,2,24,NA,Thomas,Dakota,Global,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Lon,taxiles,No,No,NA,Data Quality Comparison,NA,Major Data Source,No,NA,NA,Marina,Marina,United States,Data Quality/Comparison,Other,Observation Data
MLWUBAJD,english,Google Scholar,2021,"Dou, Yue; Cosentino, Francesca; Malek, Ziga; Maiorano, Luigi; Thuiller, Wilfried; Verburg, Peter H",A new European land systems representation accounting for landscape characteristics,Landscape Ecology,2215–2234,2,36,NA,Jackson,NA,Europe,Animalia,Chordata,Aves,Lepidoptera,Crambidae,Petrophila,NA,No,No,NA,NA,NA,Major Data Source,No,NA,NA,Simon,Simon,"Canada, United States",Species Distribution/Range,"Descriptive, Species Distribution",Observation Data
MNJ2A49K,english,Google Scholar,2021,"Huang, Renjie; Yao, Tingshan; Zhan, Cheng; Zhang, Geng; Zheng, Yongqiang",A Motor-Driven and Computer Vision-Based Intelligent E-Trap for Monitoring Citrus Flies,Agriculture,460,5,11,NA,Sam,Isla Guadalupe,North America,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,No,No,NA,NA,NA,Minor Data Source,No,NA,NA,Brittany,Levi,Mexico,Species Distribution/Range,Descriptive,Observation Data
MNVVYYX5,english,Google Scholar,2022,"Popkov, Alexander; Konstantinov, Fedor; Neimorovets, Vladimir; Solodovnikov, Alexey",Machine learning for expert-level image-based identification of very similar species in the hyperdiverse plant bug family Miridae (Hemiptera: Heteroptera),Systematic Entomology,487–503,3,47,NA,Brittany,New Jersey,North America,Plantae,Tracheophyta,"Liliopsida, Magnoliopsida",NA,NA,NA,NA,Yes,No,NA,NA,NA,Minor Data Source,No,NA,NA,Simon,Nadja,United States,"Species Distribution/Range,
Biology/Behavior,
Climate Change/Environmental Impact","Descriptive,
Species Distribution,
Image Analysis","Observation Data,
Imagery"
MPB44YJ4,english,Google Scholar,2021,"Garretson, Alexis; Forkner, Rebecca E",Herbaria Reveal Herbivory and Pathogen Increases and Shifts in Senescence for Northeastern United States Maples Over 150 Years,Frontiers in Forests and Global Change,664763,3,4,"Data sourced from iNat, but not mentioned in detail; Brittany: I agree with ""yes:",Jackson,Arizona,North America,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,No,Yes,NA,NA,NA,Major Data Source,No,NA,NA,Brittany,Marina,United States,"Species Distribution/Range, Biology/Behavior",Species Distribution,Observation Data
MPBMYUIX,english,Google Scholar,2019,"Prudic, Kathleen L; Wilson, J Keaton; Toshack, Michelle C; Gerst, Katharine L; Rosemartin, Alyssa; Crimmins, Theresa M; Oliver, Jeffrey C",Creating the urban farmerâs almanac with citizen science data,Insects,294,9,10,NA,Corey,NA,Oceania,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"Echthromorpha, Lissopimpla","intricatoria, excelsa",No,No,NA,Concept paper on how to implement citizen science tools for urban gardening,NA,Could Not Determine,No,NA,NA,Nadja,Nadja,"Australia, New Zealand",Education/Community Engagement,Other,None or Could Not Determine
